"Povpreène meseène plaèe pri pravnih osebah, obèine delovnega mesta, Slovenija, letno"

"OBÈINE";"Povpreèna meseèna bruto plaèa (EUR) 2023";"Povpreèna meseèna bruto plaèa (EUR) 2024";"Povpreèna meseèna bruto plaèa (EUR) 2025";"Povpreèna meseèna neto plaèa (EUR) 2023";"Povpreèna meseèna neto plaèa (EUR) 2024";"Povpreèna meseèna neto plaèa (EUR) 2025"
"Sveti Jurij v Slov. goricah";1868.72;1986.29;2123.10;1232.56;1298.26;1373.44
"Sveti Tomaž";1953.33;2005.07;2255.13;1313.31;1315.35;1461.52
"Šalovci";1716.30;1804.66;1867.84;1171.10;1198.28;1226.41
"Šempeter - Vrtojba";2366.76;2476.28;2579.11;1539.56;1577.71;1628.50
"Šenèur";2387.68;2533.13;2636.74;1544.77;1600.97;1658.40
"Šentilj";2124.53;2249.88;2453.98;1400.42;1445.40;1570.34
"Šentjernej";2236.00;2435.64;2513.28;1467.96;1550.94;1581.24
"Šentjur";1883.60;1985.49;2111.38;1261.81;1296.45;1366.18
"Šentrupert";2266.75;2422.25;2533.41;1492.69;1556.64;1609.60
"Škocjan";2080.44;2195.28;2386.45;1376.05;1420.49;1517.19
"Škofja Loka";2212.33;2351.57;2394.41;1457.83;1512.67;1526.17
"Škofljica";2070.62;2227.61;2460.19;1367.09;1433.43;1569.02
"Šmarje pri Jelšah";2054.20;2201.71;2308.51;1348.37;1408.64;1467.71
"Šmarješke Toplice";2096.53;2233.88;2323.92;1392.84;1444.15;1484.62
"Šmartno ob Paki";1847.85;2009.71;2151.72;1241.29;1314.15;1405.12
"Šmartno pri Litiji";1761.42;1853.54;1992.40;1191.15;1218.07;1292.03
"Šoštanj";2110.19;2219.45;2319.71;1389.49;1423.43;1481.76
"Štore";2226.96;2359.03;2520.62;1469.03;1524.36;1619.34
"Tabor";1740.39;1863.23;1995.36;1184.73;1233.51;1306.86
"Tišina";2026.95;2109.12;2180.50;1343.57;1366.77;1401.07
"Tolmin";2060.74;2169.06;2285.08;1380.67;1418.68;1477.90
"Trbovlje";2202.05;2334.99;2523.27;1439.18;1491.94;1597.23
"Trebnje";2135.62;2237.45;2374.56;1402.59;1436.67;1526.74
"Trnovska vas";1672.48;1880.49;2089.93;1129.10;1225.87;1353.32
"Trzin";2335.14;2487.33;2577.31;1512.83;1573.85;1619.25
"Tržiè";1956.20;2077.76;2228.03;1300.80;1345.37;1429.84
